net,length_um
clknet_leaf_64_clk,78.48
arr.a0\[1\],78.46
net747,77.885
_02117_,77.84
arr.b10\[3\],77.84
_03295_,77.695
_03192_,77.64
_07885_,77.52
_06142_,77.405
_06983_,77.2
net939,77.16
net40,77
clknet_leaf_69_clk,77
arr.a1\[2\],76.78
_03211_,76.68
_01229_,76.56
clknet_leaf_146_clk,76.54
net813,76.44
clknet_leaf_18_clk,76.34
_08722_,76.3
arr.a02\[6\],76.28
net873,76.24
clknet_leaf_115_clk,76.16
net802,76.01
_06857_,75.965
arr.b1\[1\],75.86
net830,75.845
arr.a1\[5\],75.84
clknet_leaf_50_clk,75.7
net1292,75.56
_05552_,75.54
net538,75.48
clknet_leaf_147_clk,75.44
_03775_,75.335
_01927_,75.32
net817,75.28
net875,75.1
arr.b10\[0\],74.78
_05170_,74.72
_01269_,74.65
clknet_leaf_104_clk,74.5
clknet_leaf_3_clk,74.4
_05970_,74.37
arr.b22\[1\],74.27
clknet_leaf_13_clk,74.135
_04484_,74.1
arr.a12\[7\],74.08
_08542_,74.045
_06388_,74.02
_07173_,73.94
_02792_,73.84
clknet_leaf_72_clk,73.74
arr.a22\[0\],73.7
net902,73.7
_02342_,73.66
_06771_,73.36
arr.a22\[1\],73.24
net842,73.24
arr.a30\[2\],73.22
net703,73.18
_06552_,72.935
_04775_,72.87
clknet_leaf_19_clk,72.68
net823,72.66
_03214_,72.585
arr.a12\[0\],72.58
clknet_leaf_78_clk,72.56
net812,72.36
_02013_,72.26
_01898_,72.16
_07558_,72.155
arr.b10\[4\],72.12
_07959_,72.015
_06074_,72
arr.a31\[3\],71.77
_04798_,71.355
state\[2\],71.335
arr.b03\[0\],71.3
arr.b11\[5\],71.075
clknet_leaf_122_clk,70.96
_04820_,70.88
net749,70.76
_02419_,70.68
_06949_,70.68
clknet_leaf_133_clk,70.64
net699,70.48
_02175_,70.28
_02316_,70.21
_04350_,70.14
clknet_leaf_123_clk,70.12
clknet_leaf_15_clk,70.11
_02604_,70.1
arr.a00\[7\],70.06
clknet_leaf_38_clk,69.52
_03363_,69.475
_05741_,69.1
_07748_,69.095
clknet_leaf_144_clk,69
net827,68.96
_04170_,68.93
net801,68.92
arr.a31\[6\],68.85
clknet_leaf_40_clk,68.8
arr.a21\[6\],68.68
_06866_,68.57
_03680_,68.52
clknet_leaf_29_clk,68.36
clknet_leaf_75_clk,68.14
_03231_,67.865
clknet_leaf_126_clk,67.835
clknet_leaf_14_clk,67.82
_01752_,67.7
_08179_,67.66
net691,67.6
net762,67.56
_07198_,67.44
_05570_,67.2
_07331_,67.18
arr.b2\[4\],67.18
_02438_,67.17
_07782_,67.14
_07129_,67.11
clknet_leaf_118_clk,67.06
clknet_leaf_48_clk,66.9
_05968_,66.84
clknet_leaf_82_clk,66.82
net844,66.76
net764,66.68
clknet_leaf_97_clk,66.64
_07380_,66.62
_06157_,66.61
_02144_,66.32
_08164_,66.18
_03188_,66.16
net792,66.1
_08576_,66.06
arr.a1\[3\],65.92
arr.a32\[5\],65.86
_00032_,65.84
arr.a12\[6\],65.81
net788,65.76
arr.a22\[5\],65.68
clknet_leaf_52_clk,65.5
net785,65.36
_04996_,65.355
clknet_leaf_28_clk,65.305
_02236_,65.26
clknet_leaf_45_clk,65.24
net698,64.82
_06586_,64.69
arr.b22\[0\],64.68
_02981_,64.49
_00065_,64.34
_04155_,64.23
_07160_,64.21
_07529_,64.14
clknet_leaf_83_clk,64.12
clknet_leaf_36_clk,63.98
_00033_,63.86
_03683_,63.84
net560,63.8
net727,63.74
net845,63.6
net856,63.4
arr.a0\[2\],63.34
net837,63.34
arr.b21\[5\],63.22
net731,63.12
_03585_,63.1
arr.b11\[4\],63.04
net810,63
_00034_,62.98
net739,62.92
buf_b.write_ptr\[3\],62.64
arr.a2\[4\],62.56
net674,62.54
_08062_,62.48
net716,62.405
_00063_,62.16
_02765_,62.14
clknet_leaf_129_clk,61.92
net575,61.76
_03966_,61.72
_07133_,61.615
_07955_,61.61
net672,61.48
arr.a30\[5\],61.41
arr.a32\[7\],61.4
clknet_leaf_107_clk,61.4
arr.b20\[7\],61.04
clknet_leaf_77_clk,60.99
arr.a02\[7\],60.74
_02192_,60.6
net808,60.445
arr.a02\[5\],60.34
net718,60.29
clknet_leaf_2_clk,60.18
clknet_leaf_141_clk,59.98
net794,59.94
arr.a2\[3\],59.72
net694,59.545
_07665_,59.5
net677,59.46
clknet_leaf_9_clk,59.36
